cycle,gender,race_ethnicity,prevalence_pct,n_unweighted,n_cases,weighted_pop,outcome,midyear
1999-2000,Female,Mexican American,0.9014707992612708,687.0,19.0,542578.2122157812,Heart Failure,1999.5
1999-2000,Female,Non-Hispanic Black,1.5831052664573717,495.0,15.0,1039657.3340433838,Heart Failure,1999.5
1999-2000,Female,Non-Hispanic White,1.7837007292181168,1150.0,37.0,6323748.031480513,Heart Failure,1999.5
1999-2000,Female,Other Hispanic,3.580816572690166,180.0,7.0,804136.0688252875,Heart Failure,1999.5
1999-2000,Male,Mexican American,1.2994639599046147,586.0,24.0,564366.9930405838,Heart Failure,1999.5
1999-2000,Male,Non-Hispanic Black,1.6407068484511238,409.0,16.0,842711.2055531808,Heart Failure,1999.5
1999-2000,Male,Non-Hispanic White,2.493409185999543,1057.0,43.0,5922265.001341667,Heart Failure,1999.5
1999-2000,Male,Other Hispanic,2.947031877445491,129.0,5.0,610542.6242995576,Heart Failure,1999.5
2001-2002,Female,Mexican American,0.9119084809551974,572.0,7.0,620755.0134733636,Heart Failure,2001.5
2001-2002,Female,Non-Hispanic Black,3.412495726891112,532.0,22.0,1108913.7256077272,Heart Failure,2001.5
2001-2002,Female,Non-Hispanic White,2.0645892909909462,1518.0,52.0,6642675.250238363,Heart Failure,2001.5
2001-2002,Female,Other Hispanic,1.855373222279356,128.0,4.0,608315.3222963637,Heart Failure,2001.5
2001-2002,Male,Mexican American,1.394365625489402,536.0,15.0,680655.606917091,Heart Failure,2001.5
2001-2002,Male,Non-Hispanic Black,2.8029776276637897,475.0,17.0,869462.8959679091,Heart Failure,2001.5
2001-2002,Male,Non-Hispanic White,2.290048064269393,1329.0,62.0,6285825.055288726,Heart Failure,2001.5
2001-2002,Male,Other Hispanic,2.2444037567612383,109.0,3.0,476802.9951967274,Heart Failure,2001.5
2003-2004,Female,Mexican American,1.3757743381046004,500.0,13.0,680496.9330275455,Heart Failure,2003.5
2003-2004,Female,Non-Hispanic Black,2.6574219775548924,516.0,16.0,1168899.0531799998,Heart Failure,2003.5
2003-2004,Female,Non-Hispanic White,2.5864296493096544,1402.0,64.0,6976354.664999546,Heart Failure,2003.5
2003-2004,Female,Other Hispanic,0.0,81.0,0.0,358680.4024237272,Heart Failure,2003.5
