concept,1999-2000,2001-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2021-2022,n_cycles_covered,distinct_module_stems,name_drifts
cholesterol_total_hdl,LAB13,L13_2_B|L13_B,L13_C,HDL_D|TCHOL_D,HDL_E|TCHOL_E,HDL_F|TCHOL_F,HDL_G|TCHOL_G,HDL_H|TCHOL_H,HDL_I|TCHOL_I,HDL_J|TCHOL_J,TCHOL_L,11,HDL|L13|L13_2|LAB13|TCHOL,True
cholesterol_ldl_trig,LAB13AM,L13AM_B|L13_2_B,L13AM_C,TRIGLY_D,TRIGLY_E,TRIGLY_F,TRIGLY_G,TRIGLY_H,TRIGLY_I,TRIGLY_J,TRIGLY_L,11,L13AM|L13_2|LAB13AM|TRIGLY,True
glycohemoglobin,LAB10,L10_2_B|L10_B,L10_C,GHB_D,GHB_E,GHB_F,GHB_G,GHB_H,GHB_I,GHB_J,GHB_L,11,GHB|L10|L10_2|LAB10,True
fasting_glucose,LAB10AM,L10AM_B,L10AM_C,GLU_D,GLU_E,GLU_F,GLU_G,GLU_H,GLU_I,GLU_J,GLU_L,11,GLU|L10AM|LAB10AM,True
biochemistry,LAB18,L40_2_B|L40_B,L40_C,BIOPRO_D,BIOPRO_E,BIOPRO_F,BIOPRO_G,BIOPRO_H,BIOPRO_I,BIOPRO_J,BIOPRO_L,11,BIOPRO|L40|L40_2|LAB18,True
crp,LAB11,L11_2_B|L11_B,L11_C,CRP_D,CRP_E,CRP_F,,,HSCRP_I,HSCRP_J,HSCRP_L,9,CRP|HSCRP|L11|L11_2|LAB11,True
urine_albumin_creat,LAB16,L16_B,L16_C,ALB_CR_D,ALB_CR_E,ALB_CR_F,ALB_CR_G,ALB_CR_H,ALB_CR_I,ALB_CR_J,ALB_CR_L,11,ALB_CR|L16|LAB16,True
blood_pressure,BPQ|BPX,BPQ_B|BPX_B,BPQ_C|BPX_C,BPQ_D|BPX_D,BPQ_E|BPX_E,BPQ_F|BPX_F,BPQ_G|BPX_G,BPQ_H|BPX_H,BPQ_I|BPX_I,BPQ_J|BPXO_J|BPX_J,BPQ_L|BPXO_L,11,BPQ|BPX|BPXO,True
body_measures,BMX,BMX_B,BMX_C,BMX_D,BMX_E,ARX_F|BMX_F,BMX_G,BMX_H,BMX_I,BMX_J,BMX_L,11,ARX|BMX,True
demographics,DEMO,DEMO_B,DEMO_C,DEMO_D,DEMO_E,DEMO_F,DEMO_G,DEMO_H,DEMO_I,DEMO_J,DEMO_L,11,DEMO,False
medical_conditions,MCQ,MCQ_B,MCQ_C,MCQ_D,MCQ_E,MCQ_F,MCQ_G,MCQ_H,MCQ_I,MCQ_J,MCQ_L,11,MCQ,False
prescription_meds,RXQ_DRUG|RXQ_RX,RXQ_DRUG|RXQ_RX_B,RXQ_DRUG|RXQ_RX_C,RXQ_DRUG|RXQ_RX_D,RXQ_DRUG|RXQ_RX_E,RXQ_DRUG|RXQ_RX_F,RXQ_DRUG|RXQ_RX_G,RXQ_DRUG|RXQ_RX_H,RXQ_DRUG|RXQ_RX_I,RXQ_DRUG|RXQ_RX_J,RXQ_RX_L,11,RXQ_DRUG|RXQ_RX,True
health_insurance,HIQ,HIQ_B,HIQ_C,HIQ_D,HIQ_E,HIQ_F,HIQ_G,HIQ_H,HIQ_I,HIQ_J,HIQ_L,11,HIQ,False
alcohol,ALQ,ALQ_B,ALQ_C,ALQ_D,ALQ_E,ALQY_F|ALQ_F,ALQ_G,ALQ_H,ALQ_I,ALQ_J,ALQ_L,11,ALQ|ALQY,True
smoking,SMQ,SMQ_B,SMQ_C,SMQ_D,SMQ_E,SMQ_F,SMQ_G,SMQ_H,SMQ_I,SMQ_J,SMQ_L,11,SMQ,False
physical_activity,PAQ,PAQ_B,PAQ_C,PAQ_D,PAQ_E,PAQ_F,PAQ_G,PAQ_H,PAQ_I,PAQ_J,PAQ_L,11,PAQ,False
diabetes,DIQ,DIQ_B,DIQ_C,DIQ_D,DIQ_E,DIQ_F,DIQ_G,DIQ_H,DIQ_I,DIQ_J,DIQ_L,11,DIQ,False
sleep,,,,SLQ_D,SLQ_E,SLQ_F,SLQ_G,SLQ_H,SLQ_I,SLQ_J,SLQ_L,8,SLQ,False
cardiovascular_health,CDQ,CDQ_B,CDQ_C,CDQ_D,CDQ_E,CDQ_F,CDQ_G,CDQ_H,CDQ_I,CDQ_J,,10,CDQ,False
diet_total_nutrients,DRXTOT,DRXTOT_B,DR1TOT_C|DR2TOT_C,DR1TOT_D|DR2TOT_D,DR1TOT_E|DR2TOT_E,DR1TOT_F|DR2TOT_F,DR1TOT_G|DR2TOT_G,DR1TOT_H|DR2TOT_H,DR1TOT_I|DR2TOT_I,DR1TOT_J|DR2TOT_J,DR1TOT_L|DR2TOT_L,11,DR1TOT|DR2TOT|DRXTOT,True
