cycle,component,file_label,module,data_url,doc_url,size_kb,date_published,downloadable
1999-2000,Demographics,Demographic Variables & Sample Weights,DEMO,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,11264.0,Updated September 2009,True
1999-2000,Dietary,Dietary Interview - Individual Foods,DRXIFF,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXIFF.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXIFF.htm,69939.2,Updated July 2010,True
1999-2000,Dietary,Dietary Interview - Total Nutrient Intakes,DRXTOT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXTOT.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXTOT.htm,9625.6,Updated July 2010,True
1999-2000,Dietary,Dietary Interview Technical Support File - Food Code Format File,DRXFMT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXFMT.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXFMT.htm,321.2,July 2010,True
1999-2000,Dietary,Dietary Supplement Database - Blend Information,DSBI,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.htm,10240.0,February 2025,True
1999-2000,Dietary,Dietary Supplement Database - Ingredient Information,DSII,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.htm,84377.6,February 2025,True
1999-2000,Dietary,Dietary Supplement Database - Product Information,DSPI,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.htm,6656.0,February 2025,True
1999-2000,Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",DSQFILE1,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE1.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE1.htm,234.8,Updated July 2009,True
1999-2000,Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",DSQFILE2,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE2.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE2.htm,2150.4,Updated July 2009,True
1999-2000,Examination,Audiometry,AUX1,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUX1.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUX1.htm,1740.8,Updated February 2005,True
