cycle,component,module,file_label,rule_id,rule,disposition,decided_by,data_url
1999-2000,Demographics,DEMO,Demographic Variables & Sample Weights,KEEP,whitelist: demographics,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.xpt
1999-2000,Dietary,DRXIFF,Dietary Interview - Individual Foods,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXIFF.xpt
1999-2000,Dietary,DRXTOT,Dietary Interview - Total Nutrient Intakes,R4,DIET-FRAME: WTDRD1 frame + mediator in DAG,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXTOT.xpt
1999-2000,Dietary,DRXFMT,Dietary Interview Technical Support File - Food Code Format File,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXFMT.xpt
1999-2000,Dietary,DSBI,Dietary Supplement Database - Blend Information,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.xpt
1999-2000,Dietary,DSII,Dietary Supplement Database - Ingredient Information,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.xpt
1999-2000,Dietary,DSPI,Dietary Supplement Database - Product Information,R1,UNIT: not person-level,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.xpt
1999-2000,Dietary,DSQFILE1,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",R4,DIET-FRAME: WTDRD1 frame + mediator in DAG,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE1.xpt
1999-2000,Dietary,DSQFILE2,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",R4,DIET-FRAME: WTDRD1 frame + mediator in DAG,drop,mechanical,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE2.xpt
1999-2000,Examination,AUX1,Audiometry,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUX1.xpt
1999-2000,Examination,AUXAR,Audiometry - Acoustic Reflex,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXAR.xpt
1999-2000,Examination,AUXTYM,Audiometry - Tympanometry,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/AUXTYM.xpt
1999-2000,Examination,BAX,Balance,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BAX.xpt
1999-2000,Examination,BIX,Bioelectrical Impedance Analysis,R5,"OFF-DAG: no path to outcome, not a confounder",drop,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BIX.xpt
1999-2000,Examination,BPX,Blood Pressure,KEEP,whitelist: blood_pressure_exam,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BPX.xpt
1999-2000,Examination,BMX,Body Measures,KEEP,whitelist: body_measures,keep,judgement,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/BMX.xpt
