analyte,cycle,source_module,variable,unit,canonical_unit,to_canonical
total_cholesterol,1999-2000,LAB13,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2001-2002,L13,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2003-2004,L13,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2005-2006,TCHOL,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2007-2008,TCHOL,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2009-2010,TCHOL,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2011-2012,TCHOL,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2013-2014,TCHOL,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2015-2016,TCHOL,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2017-2018,TCHOL,LBXTC,mg/dL,mg/dL,1.0
total_cholesterol,2021-2022,TCHOL,LBXTC,mg/dL,mg/dL,1.0
hdl_cholesterol,1999-2000,LAB13,LBDHDL,mg/dL,mg/dL,1.0
hdl_cholesterol,2001-2002,L13,LBDHDL,mg/dL,mg/dL,1.0
hdl_cholesterol,2003-2004,L13,LBXHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2005-2006,HDL,LBDHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2007-2008,HDL,LBDHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2009-2010,HDL,LBDHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2011-2012,HDL,LBDHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2013-2014,HDL,LBDHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2015-2016,HDL,LBDHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2017-2018,HDL,LBDHDD,mg/dL,mg/dL,1.0
hdl_cholesterol,2021-2022,HDL,LBDHDD,mg/dL,mg/dL,1.0
ldl_cholesterol,1999-2000,LAB13AM,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2001-2002,L13AM,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2003-2004,L13AM,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2005-2006,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2007-2008,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2009-2010,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2011-2012,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2013-2014,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2015-2016,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2017-2018,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
ldl_cholesterol,2021-2022,TRIGLY,LBDLDL,mg/dL,mg/dL,1.0
triglycerides,1999-2000,LAB13AM,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2001-2002,L13AM,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2003-2004,L13AM,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2005-2006,TRIGLY,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2007-2008,TRIGLY,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2009-2010,TRIGLY,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2011-2012,TRIGLY,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2013-2014,TRIGLY,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2015-2016,TRIGLY,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2017-2018,TRIGLY,LBXTR,mg/dL,mg/dL,1.0
triglycerides,2021-2022,TRIGLY,LBDTRSI,mmol/L,mg/dL,88.57
hba1c,1999-2000,LAB10,LBXGH,%,%,1.0
hba1c,2001-2002,L10,LBXGH,%,%,1.0
hba1c,2003-2004,L10,LBXGH,%,%,1.0
hba1c,2005-2006,GHB,LBXGH,%,%,1.0
hba1c,2007-2008,GHB,LBXGH,%,%,1.0
hba1c,2009-2010,GHB,LBXGH,%,%,1.0
hba1c,2011-2012,GHB,LBXGH,%,%,1.0
hba1c,2013-2014,GHB,LBXGH,%,%,1.0
hba1c,2015-2016,GHB,LBXGH,%,%,1.0
hba1c,2017-2018,GHB,LBXGH,%,%,1.0
hba1c,2021-2022,GHB,LBXGH,%,%,1.0
fasting_glucose,1999-2000,LAB10AM,LBXGLU,mg/dL,mg/dL,1.0
fasting_glucose,2001-2002,L10AM,LBXGLU,mg/dL,mg/dL,1.0
fasting_glucose,2003-2004,L10AM,LBXGLU,mg/dL,mg/dL,1.0
fasting_glucose,2005-2006,GLU,LBXGLU,mg/dL,mg/dL,1.0
fasting_glucose,2007-2008,GLU,LBXGLU,mg/dL,mg/dL,1.0
