group,kind,variable,value
white_women,coefficient,ln_age,-29.799
white_women,coefficient,ln_age_squared,4.884
white_women,coefficient,ln_total_cholesterol,13.540
white_women,coefficient,ln_age_x_ln_total_cholesterol,-3.114
white_women,coefficient,ln_hdl_c,-13.578
white_women,coefficient,ln_age_x_ln_hdl_c,3.149
white_women,coefficient,ln_treated_systolic_bp,2.019
white_women,coefficient,ln_age_x_ln_treated_systolic_bp,NA
white_women,coefficient,ln_untreated_systolic_bp,1.957
white_women,coefficient,ln_age_x_ln_untreated_systolic_bp,NA
white_women,coefficient,current_smoker,7.574
white_women,coefficient,ln_age_x_current_smoker,-1.665
white_women,coefficient,diabetes,0.661
white_women,parameter,mean_linear_predictor,-29.18
white_women,parameter,baseline_survival_10y,0.9665
aa_women,coefficient,ln_age,17.114
aa_women,coefficient,ln_age_squared,NA
aa_women,coefficient,ln_total_cholesterol,0.940
aa_women,coefficient,ln_age_x_ln_total_cholesterol,NA
aa_women,coefficient,ln_hdl_c,-18.920
aa_women,coefficient,ln_age_x_ln_hdl_c,4.475
aa_women,coefficient,ln_treated_systolic_bp,29.291
aa_women,coefficient,ln_age_x_ln_treated_systolic_bp,-6.432
aa_women,coefficient,ln_untreated_systolic_bp,27.820
aa_women,coefficient,ln_age_x_ln_untreated_systolic_bp,-6.087
aa_women,coefficient,current_smoker,0.691
aa_women,coefficient,ln_age_x_current_smoker,NA
aa_women,coefficient,diabetes,0.874
aa_women,parameter,mean_linear_predictor,86.61
aa_women,parameter,baseline_survival_10y,0.9533
white_men,coefficient,ln_age,12.344
white_men,coefficient,ln_age_squared,NA
white_men,coefficient,ln_total_cholesterol,11.853
white_men,coefficient,ln_age_x_ln_total_cholesterol,-2.664
white_men,coefficient,ln_hdl_c,-7.990
white_men,coefficient,ln_age_x_ln_hdl_c,1.769
white_men,coefficient,ln_treated_systolic_bp,1.797
white_men,coefficient,ln_age_x_ln_treated_systolic_bp,NA
white_men,coefficient,ln_untreated_systolic_bp,1.764
white_men,coefficient,ln_age_x_ln_untreated_systolic_bp,NA
white_men,coefficient,current_smoker,7.837
white_men,coefficient,ln_age_x_current_smoker,-1.795
white_men,coefficient,diabetes,0.658
white_men,parameter,mean_linear_predictor,61.18
white_men,parameter,baseline_survival_10y,0.9144
aa_men,coefficient,ln_age,2.469
aa_men,coefficient,ln_age_squared,NA
aa_men,coefficient,ln_total_cholesterol,0.302
aa_men,coefficient,ln_age_x_ln_total_cholesterol,NA
aa_men,coefficient,ln_hdl_c,-0.307
aa_men,coefficient,ln_age_x_ln_hdl_c,NA
aa_men,coefficient,ln_treated_systolic_bp,1.916
aa_men,coefficient,ln_age_x_ln_treated_systolic_bp,NA
aa_men,coefficient,ln_untreated_systolic_bp,1.809
aa_men,coefficient,ln_age_x_ln_untreated_systolic_bp,NA
aa_men,coefficient,current_smoker,0.549
aa_men,coefficient,ln_age_x_current_smoker,NA
aa_men,coefficient,diabetes,0.645
aa_men,parameter,mean_linear_predictor,19.54
aa_men,parameter,baseline_survival_10y,0.8954
