cycle,prevalence_pct,n_unweighted,n_cases,weighted_pop,midyear
1999-2000,3.1630894049274323,4847.0,203.0,17389490.271782774,1999.5
2001-2002,3.3027211538940113,5371.0,240.0,18069156.255284816,2001.5
2003-2004,3.9765912683338023,5012.0,264.0,18605955.702458,2003.5
2005-2006,3.336913802492126,4953.0,200.0,19037410.08892218,2005.5
2007-2008,3.267178665294774,5906.0,253.0,19486109.918902542,2007.5
2009-2010,3.1652213302677414,6190.0,254.0,19863646.451076817,2009.5
2011-2012,2.999566180717168,5538.0,196.0,20296451.651024,2011.5
2013-2014,3.6514982031006635,5751.0,232.0,20787684.64256891,2013.5
2015-2016,3.4991288212032954,5693.0,244.0,21257627.696155548,2015.5
2017-2018,4.14029592838564,5553.0,265.0,21672767.215259254,2017.5
2021-2022,4.060130665937868,7773.0,402.0,22225963.13079282,2021.5
