cycle,prevalence_pct,n_unweighted,n_cases,weighted_pop,midyear
1999-2000,2.278085724506771,4877.0,190.0,17449056.33922392,1999.5
2001-2002,2.3001348570539824,5401.0,204.0,18121222.726813182,2001.5
2003-2004,2.797229832469839,5033.0,212.0,18649984.209745273,2003.5
2005-2006,2.9058596087727224,4970.0,193.0,19083220.35900309,2005.5
2007-2008,3.1658542593530337,5917.0,258.0,19481437.640075818,2007.5
2009-2010,2.6107791428497378,6210.0,227.0,19909624.034744546,2009.5
2011-2012,2.918855303159335,5555.0,229.0,20350607.019728273,2011.5
2013-2014,2.8945646995935848,5764.0,202.0,20822854.222262908,2013.5
2015-2016,2.717843467504291,5714.0,209.0,21304301.149632454,2015.5
2017-2018,3.3103254214616125,5559.0,273.0,21670394.447693214,2017.5
2021-2022,3.5577136258168984,7785.0,367.0,22256069.5374,2021.5
