cycle,n,n_psu,p_std,se_std,p_crude,se_crude,r_n,r_n_psu,r_n_strata,r_design_df,r_p_std,r_se_std,r_p_std_svystd,r_se_std_svystd,r_p_crude,r_se_crude,r_p_std_average,r_se_std_average,absdiff_p_std,reldiff_p_std,absdiff_se_std,reldiff_se_std,absdiff_p_crude,reldiff_p_crude,absdiff_se_crude,reldiff_se_crude
1999-2000,4880,27,0.08692008202313004,0.006071458545328379,0.0802078674642744,0.005679133007529275,4880,27,13,14,0.08692008202313,0.0060714585453283,0.08692008202313,0.0060714585453283,0.0802078674642744,0.0056791330075292,0.08692008202313,0.0060714585453283,4.163336342344337e-17,4.789844010083247e-16,7.892991815694472e-17,1.3000157633897964e-14,0.0,0.0,7.546047120499111e-17,1.3287322396737003e-14
2001-2002,5410,30,0.08755686515757463,0.005395843493534856,0.08092767981713739,0.005809888532300015,5410,30,15,15,0.0875568651575746,0.0053958434935348,0.0875568651575746,0.0053958434935348,0.0809276798171374,0.0058098885323,0.0875568651575746,0.0053958434935348,2.7755575615628914e-17,3.1700056375565384e-16,5.637851296924623e-17,1.0448507825847418e-14,1.3877787807814457e-17,1.7148382159444623e-16,1.474514954580286e-17,2.537940179717286e-15
2003-2004,5039,30,0.09743320066448297,0.006979460536701628,0.0957501602707065,0.008843371139525574,5039,30,15,15,0.097433200664483,0.0069794605367016,0.097433200664483,0.0069794605367016,0.0957501602707065,0.0088433711395255,0.097433200664483,0.0069794605367016,2.7755575615628914e-17,2.8486773939826617e-16,2.862293735361732e-17,4.101024313140416e-15,0.0,0.0,7.45931094670027e-17,8.434917893879673e-15
2005-2006,4979,30,0.08808596602343012,0.004533711670977435,0.08760165826466919,0.00613220537489972,4979,30,15,15,0.0880859660234301,0.0045337116709774,0.0880859660234301,0.0045337116709774,0.0876016582646692,0.0061322053748997,0.0880859660234301,0.0045337116709774,1.3877787807814457e-17,1.5754822742277793e-16,3.5561831257524545e-17,7.843866976626229e-15,1.3877787807814457e-17,1.5841923637890237e-16,1.9949319973733282e-17,3.2532048022053695e-15
2007-2008,5934,32,0.08575128118973274,0.005359295928640245,0.08649471882341635,0.006161982226310002,5934,32,16,16,0.0857512811897327,0.0053592959286402,0.0857512811897327,0.0053592959286402,0.0864947188234163,0.00616198222631,0.0857512811897327,0.0053592959286402,4.163336342344337e-17,4.855130191154308e-16,4.423544863740858e-17,8.253966421412434e-15,4.163336342344337e-17,4.813399475688239e-16,1.734723475976807e-18,2.8152036345869454e-16
2009-2010,6216,31,0.07763130980152164,0.004102361509165885,0.07981534493926153,0.005975993498139492,6216,31,15,16,0.0776313098015216,0.0041023615091658,0.0776313098015217,0.0041023615091658,0.0798153449392615,0.0059759934981394,0.0776313098015216,0.0041023615091658,4.163336342344337e-17,5.362960322308944e-16,8.500145032286355e-17,2.072012672041384e-14,2.7755575615628914e-17,3.4774736157252175e-16,9.194034422677078e-17,1.5384947164918436e-14
2011-2012,5557,31,0.08262139519764944,0.0030503163314833577,0.08504459036053062,0.0051902920745154745,5557,31,14,17,0.0826213951976494,0.0030503163314833,0.0826213951976494,0.0030503163314833,0.0850445903605306,0.0051902920745154,0.0826213951976494,0.0030503163314833,4.163336342344337e-17,5.039053543437118e-16,5.767955557622884e-17,1.8909368507423154e-14,2.7755575615628914e-17,3.263649751026415e-16,7.45931094670027e-17,1.437165932014861e-14
2013-2014,5768,30,0.08254309767301043,0.004327860141859106,0.08754380352826335,0.004463162298531062,5768,30,15,15,0.0825430976730104,0.0043278601418591,0.0825430976730104,0.0043278601418591,0.0875438035282633,0.004463162298531,0.0825430976730104,0.0043278601418591,4.163336342344337e-17,5.043833415165915e-16,6.071532165918825e-18,1.402894725546908e-15,5.551115123125783e-17,6.340957211590217e-16,6.245004513516506e-17,1.3992331212270678e-14
2015-2016,5719,30,0.07700181725595447,0.003522038930019375,0.08653385732941178,0.005118015700352719,5719,30,15,15,0.0770018172559545,0.0035220389300193,0.0770018172559545,0.0035220389300193,0.0865338573294118,0.0051180157003527,0.0770018172559545,0.0035220389300193,2.7755575615628914e-17,3.604535140173279e-16,7.45931094670027e-17,2.1178956550203136e-14,1.3877787807814457e-17,1.60374080575021e-16,1.8214596497756474e-17,3.558917667349329e-15
2017-2018,5568,30,0.08407303248577151,0.0045871434282562865,0.09568809616935225,0.006675716494359983,5568,30,15,15,0.0840730324857715,0.0045871434282562,0.0840730324857715,0.0045871434282562,0.0956880961693523,0.0066757164943599,0.0840730324857715,0.0045871434282562,1.3877787807814457e-17,1.6506824361501568e-16,8.673617379884035e-17,1.890853755837608e-14,4.163336342344337e-17,4.350944902253998e-16,8.239936510889834e-17,1.2343149260235202e-14
2021-2022,7807,30,0.08033408928443259,0.0037689953018645384,0.09403574715200153,0.004558578243142068,7807,30,15,15,0.0803340892844326,0.0037689953018645,0.0803340892844326,0.0037689953018645,0.0940357471520015,0.004558578243142,0.0803340892844326,0.0037689953018645,1.3877787807814457e-17,1.7275091970830047e-16,3.859759734048396e-17,1.0240818639755256e-14,2.7755575615628914e-17,2.9515983502278317e-16,6.765421556309548e-17,1.4841078063072753e-14
