arm,horizon_years,threshold,net_benefit,weighted_true_positive_fraction,weighted_false_positive_fraction,early_censored,estimator
1b_mortality_recalibration,10,0.005,0.01639467515,0.01977745767,0.6731737202,0,fully observed weighted binary
1b_mortality_recalibration,10,0.01,0.0142219586,0.01894215221,0.4672991679,0,fully observed weighted binary
1b_mortality_recalibration,10,0.015,0.01281195182,0.01804979834,0.3439519213,0,fully observed weighted binary
1b_mortality_recalibration,10,0.02,0.01085690158,0.01638158386,0.2707094317,0,fully observed weighted binary
1b_mortality_recalibration,10,0.025,0.009041179951,0.01451241516,0.2133781733,0,fully observed weighted binary
1b_mortality_recalibration,10,0.03,0.007802056619,0.01322313746,0.1752816139,0,fully observed weighted binary
1b_mortality_recalibration,10,0.035,0.00714082585,0.01244467262,0.1462346325,0,fully observed weighted binary
1b_mortality_recalibration,10,0.04,0.006063797281,0.01114644081,0.1219834448,0,fully observed weighted binary
1b_mortality_recalibration,10,0.045,0.005616608256,0.01028041453,0.09897633311,0,fully observed weighted binary
1b_mortality_recalibration,10,0.05,0.004783082209,0.009099660293,0.08201498359,0,fully observed weighted binary
1b_mortality_recalibration,10,0.055,0.004233914135,0.008308046506,0.07000100164,0,fully observed weighted binary
1b_mortality_recalibration,10,0.06,0.003313729127,0.007145264859,0.06002739313,0,fully observed weighted binary
1b_mortality_recalibration,10,0.065,0.002967639518,0.006428336297,0.04978079213,0,fully observed weighted binary
1b_mortality_recalibration,10,0.07,0.002413539043,0.005591737289,0.04222463384,0,fully observed weighted binary
1b_mortality_recalibration,10,0.075,0.002435432773,0.005324013589,0.03562583007,0,fully observed weighted binary
1b_mortality_recalibration,10,0.08,0.001470178438,0.004165302185,0.03099392309,0,fully observed weighted binary
1b_mortality_recalibration,10,0.085,0.001417517365,0.003751039991,0.02511968473,0,fully observed weighted binary
1b_mortality_recalibration,10,0.09,0.0002318687409,0.002360801401,0.02152587468,0,fully observed weighted binary
1b_mortality_recalibration,10,0.095,9.195535225e-05,0.001918815345,0.01740324519,0,fully observed weighted binary
1b_mortality_recalibration,10,0.1,1.297655455e-05,0.001678789551,0.01499231697,0,fully observed weighted binary
2_same_inputs_refit,10,0.005,0.01638475941,0.01964496855,0.6487816189,0,fully observed weighted binary
2_same_inputs_refit,10,0.01,0.01437476335,0.01863459201,0.4217230371,0,fully observed weighted binary
2_same_inputs_refit,10,0.015,0.01226928765,0.01703256311,0.3127884212,0,fully observed weighted binary
2_same_inputs_refit,10,0.02,0.01022178074,0.01533153474,0.2503779458,0,fully observed weighted binary
2_same_inputs_refit,10,0.025,0.009475342158,0.01482950679,0.2088124207,0,fully observed weighted binary
2_same_inputs_refit,10,0.03,0.007569290312,0.01299919955,0.1755670655,0,fully observed weighted binary
2_same_inputs_refit,10,0.035,0.006617350242,0.01187690812,0.1450135244,0,fully observed weighted binary
2_same_inputs_refit,10,0.04,0.005558342256,0.01071527633,0.1237664179,0,fully observed weighted binary
2_same_inputs_refit,10,0.045,0.005471151871,0.01040680088,0.1047454402,0,fully observed weighted binary
2_same_inputs_refit,10,0.05,0.005130970557,0.009953520739,0.09162845345,0,fully observed weighted binary
2_same_inputs_refit,10,0.055,0.004443266968,0.008977509911,0.07790653783,0,fully observed weighted binary
2_same_inputs_refit,10,0.06,0.003710198406,0.008019796382,0.06751703495,0,fully observed weighted binary
2_same_inputs_refit,10,0.065,0.002465725132,0.0066380496,0.06001728274,0,fully observed weighted binary
2_same_inputs_refit,10,0.07,0.001901655063,0.005861203878,0.05260543425,0,fully observed weighted binary
2_same_inputs_refit,10,0.075,0.001867705037,0.005472669961,0.04446123407,0,fully observed weighted binary
2_same_inputs_refit,10,0.08,0.001744725259,0.005224686349,0.04001955254,0,fully observed weighted binary
2_same_inputs_refit,10,0.085,0.001623586625,0.00491748258,0.03545782116,0,fully observed weighted binary
2_same_inputs_refit,10,0.09,0.00107990286,0.004212297764,0.03167199293,0,fully observed weighted binary
2_same_inputs_refit,10,0.095,0.001240406902,0.004163532935,0.02784662168,0,fully observed weighted binary
2_same_inputs_refit,10,0.1,0.0009257661246,0.003617132307,0.02422229564,0,fully observed weighted binary
3_cardiotrace_refit,10,0.005,0.01644593298,0.01964496855,0.6366080775,0,fully observed weighted binary
3_cardiotrace_refit,10,0.01,0.0143503458,0.01863459201,0.4241403747,0,fully observed weighted binary
3_cardiotrace_refit,10,0.015,0.0112492949,0.01609816849,0.3184093654,0,fully observed weighted binary
3_cardiotrace_refit,10,0.02,0.01010080658,0.01527498765,0.2535348722,0,fully observed weighted binary
3_cardiotrace_refit,10,0.025,0.009506379265,0.01483363666,0.2077630385,0,fully observed weighted binary
3_cardiotrace_refit,10,0.03,0.006943456459,0.01250271655,0.1797494096,0,fully observed weighted binary
3_cardiotrace_refit,10,0.035,0.006355826751,0.01174861052,0.1486867526,0,fully observed weighted binary
3_cardiotrace_refit,10,0.04,0.006152676197,0.01148958233,0.1280857472,0,fully observed weighted binary
3_cardiotrace_refit,10,0.045,0.005591453362,0.01069620737,0.1083342239,0,fully observed weighted binary
3_cardiotrace_refit,10,0.05,0.005116754199,0.00998958029,0.09258369573,0,fully observed weighted binary
3_cardiotrace_refit,10,0.055,0.004780786762,0.009409876852,0.07953618428,0,fully observed weighted binary
3_cardiotrace_refit,10,0.06,0.004099830033,0.008515823158,0.0691838923,0,fully observed weighted binary
3_cardiotrace_refit,10,0.065,0.002269929776,0.006522669226,0.06117402132,0,fully observed weighted binary
3_cardiotrace_refit,10,0.07,0.002094228284,0.006193923098,0.05446737395,0,fully observed weighted binary
3_cardiotrace_refit,10,0.075,0.001469855372,0.00528078263,0.04700143618,0,fully observed weighted binary
3_cardiotrace_refit,10,0.08,0.0009148669926,0.004462113316,0.04079333271,0,fully observed weighted binary
3_cardiotrace_refit,10,0.085,0.0009392168983,0.004462113316,0.03792294379,0,fully observed weighted binary
3_cardiotrace_refit,10,0.09,0.001094646405,0.004308267826,0.03249328326,0,fully observed weighted binary
3_cardiotrace_refit,10,0.095,0.001010353068,0.004039279972,0.02885451419,0,fully observed weighted binary
3_cardiotrace_refit,10,0.1,0.001040999549,0.003995664637,0.02659198579,0,fully observed weighted binary
treat_all,10,0.005,0.01523362586,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.01,0.01026005831,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.015,0.005235997693,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.02,0.0001606711504,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.025,-0.004966710023,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.03,-0.0101469508,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.035,-0.01538087282,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.04,-0.02066931487,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.045,-0.02601313327,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.05,-0.03141320239,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.055,-0.0368704151,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.06,-0.04238568327,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.065,-0.04795993826,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.07,-0.05359413148,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.075,-0.05928923489,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.08,-0.0650462416,0.02015745773,0.9798425423,0,fully observed weighted binary
treat_all,10,0.085,-0.07086616642,0.02015745773,0.9798425423,0,fully observed weighted binary
