arm,horizon_years,threshold,net_benefit,weighted_true_positive_fraction,weighted_false_positive_fraction,early_censored,estimator
1b_mortality_recalibration,10,0.005,0.01779620143,0.02123688004,0.6846950443,0,fully observed weighted binary
1b_mortality_recalibration,10,0.01,0.01562892457,0.02050919498,0.4831467713,0,fully observed weighted binary
1b_mortality_recalibration,10,0.015,0.01416231403,0.0196038199,0.3573255518,0,fully observed weighted binary
1b_mortality_recalibration,10,0.02,0.011966917,0.01765207851,0.2785729141,0,fully observed weighted binary
1b_mortality_recalibration,10,0.025,0.01028901021,0.01603933563,0.2242626916,0,fully observed weighted binary
1b_mortality_recalibration,10,0.03,0.009074452562,0.01481212019,0.18551792,0,fully observed weighted binary
1b_mortality_recalibration,10,0.035,0.008145279672,0.01380128014,0.155944013,0,fully observed weighted binary
1b_mortality_recalibration,10,0.04,0.007068145526,0.01247718721,0.1298170005,0,fully observed weighted binary
1b_mortality_recalibration,10,0.045,0.006870514661,0.01189954858,0.1067272755,0,fully observed weighted binary
1b_mortality_recalibration,10,0.05,0.005516008238,0.01016604291,0.0883506588,0,fully observed weighted binary
1b_mortality_recalibration,10,0.055,0.005111253005,0.009522863403,0.07579948775,0,fully observed weighted binary
1b_mortality_recalibration,10,0.06,0.004250708536,0.008402343075,0.06504227443,0,fully observed weighted binary
1b_mortality_recalibration,10,0.065,0.003447022007,0.007188686962,0.05382241127,0,fully observed weighted binary
1b_mortality_recalibration,10,0.07,0.002914284535,0.006328218014,0.04535654479,0,fully observed weighted binary
1b_mortality_recalibration,10,0.075,0.002865316523,0.005991653069,0.03855815074,0,fully observed weighted binary
1b_mortality_recalibration,10,0.08,0.002038016588,0.004929969582,0.03325745943,0,fully observed weighted binary
1b_mortality_recalibration,10,0.085,0.001481379018,0.004056361915,0.02771893354,0,fully observed weighted binary
1b_mortality_recalibration,10,0.09,0.0003283922219,0.00260105381,0.02297913384,0,fully observed weighted binary
1b_mortality_recalibration,10,0.095,0.0001064372868,0.002111598643,0.01910180029,0,fully observed weighted binary
1b_mortality_recalibration,10,0.1,0.0002706993472,0.002072035471,0.01621202511,0,fully observed weighted binary
2_same_inputs_refit,10,0.005,0.01798882995,0.02123688004,0.6463619671,0,fully observed weighted binary
2_same_inputs_refit,10,0.01,0.01595649686,0.02028800411,0.4288192176,0,fully observed weighted binary
2_same_inputs_refit,10,0.015,0.01367899068,0.01851247865,0.3173990433,0,fully observed weighted binary
2_same_inputs_refit,10,0.02,0.01082641775,0.01610505034,0.258652997,0,fully observed weighted binary
2_same_inputs_refit,10,0.025,0.0104146225,0.01597001707,0.2166603882,0,fully observed weighted binary
2_same_inputs_refit,10,0.03,0.00898231175,0.01464104028,0.1829655559,0,fully observed weighted binary
2_same_inputs_refit,10,0.035,0.007862855832,0.01333180351,0.1507867002,0,fully observed weighted binary
2_same_inputs_refit,10,0.04,0.006742958266,0.01223194573,0.1317356991,0,fully observed weighted binary
2_same_inputs_refit,10,0.045,0.00619520961,0.01148403849,0.1122407019,0,fully observed weighted binary
2_same_inputs_refit,10,0.05,0.006306969808,0.01141198342,0.09699525867,0,fully observed weighted binary
2_same_inputs_refit,10,0.055,0.005139037775,0.0101154087,0.08550310039,0,fully observed weighted binary
2_same_inputs_refit,10,0.06,0.004591217437,0.009321279709,0.07410430893,0,fully observed weighted binary
2_same_inputs_refit,10,0.065,0.003199431321,0.007678812608,0.06443417698,0,fully observed weighted binary
2_same_inputs_refit,10,0.07,0.002964755496,0.007231509386,0.05668687311,0,fully observed weighted binary
2_same_inputs_refit,10,0.075,0.001929859492,0.005907912092,0.04906264873,0,fully observed weighted binary
2_same_inputs_refit,10,0.08,0.001747983546,0.005459143299,0.04267833716,0,fully observed weighted binary
2_same_inputs_refit,10,0.085,0.001385866403,0.004947323497,0.03833803813,0,fully observed weighted binary
2_same_inputs_refit,10,0.09,0.001401533888,0.004827085176,0.03463612969,0,fully observed weighted binary
2_same_inputs_refit,10,0.095,0.001177560525,0.004422340964,0.03091080313,0,fully observed weighted binary
2_same_inputs_refit,10,0.1,0.001104895857,0.004207056585,0.02791944655,0,fully observed weighted binary
