cycle,race_ethnicity,prevalence_pct,n_unweighted,n_cases,weighted_pop,midyear
1999-2000,Mexican American,3.7508254930444322,1282.0,124.0,1108865.604755715,1999.5
2001-2002,Mexican American,3.577060778269533,1113.0,74.0,1302723.3658324545,2001.5
2003-2004,Mexican American,4.494035113254056,984.0,101.0,1446284.8858021817,2003.5
2005-2006,Mexican American,4.775390267550723,1003.0,62.0,1521619.9170402726,2005.5
2007-2008,Mexican American,4.24799409604265,1033.0,72.0,1632473.518939273,2007.5
2009-2010,Mexican American,4.933030929590471,1140.0,84.0,1711084.8850302726,2009.5
2011-2012,Mexican American,5.506408170086845,540.0,41.0,1572907.712029,2011.5
2013-2014,Mexican American,4.910786918136359,767.0,54.0,1907487.9293906363,2013.5
2015-2016,Mexican American,4.0831406621969055,995.0,72.0,1890021.4690291819,2015.5
2017-2018,Mexican American,4.473443032991368,735.0,53.0,1907382.4974377197,2017.5
2021-2022,Mexican American,5.36799468170707,545.0,37.0,1588231.2381345453,2021.5
2011-2012,Non-Hispanic Asian,4.046803657562565,793.0,39.0,1061833.0299220001,2011.5
2013-2014,Non-Hispanic Asian,5.117333789414871,667.0,36.0,1114622.7036320907,2013.5
2015-2016,Non-Hispanic Asian,4.04026158256317,690.0,31.0,1239364.536776,2015.5
2017-2018,Non-Hispanic Asian,4.732959124868556,811.0,44.0,1278719.4557503671,2017.5
2021-2022,Non-Hispanic Asian,4.73745401998405,422.0,41.0,1359664.3260860909,2021.5
1999-2000,Non-Hispanic Black,6.541025202650024,910.0,102.0,1887936.612486051,1999.5
2001-2002,Non-Hispanic Black,9.380344362548273,1012.0,120.0,1984286.5726198182,2001.5
2003-2004,Non-Hispanic Black,8.151835632935143,994.0,97.0,2094066.2702793635,2003.5
2005-2006,Non-Hispanic Black,9.661564873366013,1123.0,136.0,2193456.4022667273,2005.5
2007-2008,Non-Hispanic Black,9.67212687320343,1227.0,158.0,2205346.7445337274,2007.5
2009-2010,Non-Hispanic Black,8.595299396177358,1122.0,123.0,2268047.6624051817,2009.5
2011-2012,Non-Hispanic Black,9.528886346258657,1455.0,167.0,2341430.5443512728,2011.5
2013-2014,Non-Hispanic Black,8.36812742759114,1177.0,128.0,2382647.8358604545,2013.5
2015-2016,Non-Hispanic Black,9.95657966342281,1198.0,149.0,2420656.9724107273,2015.5
2017-2018,Non-Hispanic Black,9.283862531194362,1298.0,162.0,2484773.9463893184,2017.5
2021-2022,Non-Hispanic Black,9.214995622201455,995.0,121.0,2457060.3005738184,2021.5
1999-2000,Non-Hispanic White,9.079241384741076,2214.0,298.0,12265895.268939046,1999.5
2001-2002,Non-Hispanic White,8.571295045906643,2858.0,413.0,12960345.63915609,2001.5
2003-2004,Non-Hispanic White,10.771510315330456,2689.0,454.0,13446479.199243454,2003.5
2005-2006,Non-Hispanic White,9.621850988112865,2495.0,343.0,13725350.493517365,2005.5
2007-2008,Non-Hispanic White,9.176945968987981,2761.0,414.0,13570183.465898,2007.5
2009-2010,Non-Hispanic White,8.875107515145173,2976.0,386.0,13525719.427281272,2009.5
2011-2012,Non-Hispanic White,9.210275099556199,2041.0,266.0,13526977.097699545,2011.5
2013-2014,Non-Hispanic White,10.002403874508548,2472.0,325.0,13711770.305158727,2013.5
2015-2016,Non-Hispanic White,9.077365852301845,1863.0,267.0,13612062.992402727,2015.5
2017-2018,Non-Hispanic White,10.866996144648848,1935.0,346.0,13509181.62538841,2017.5
2021-2022,Non-Hispanic White,10.847165092106595,4555.0,621.0,13380733.254221546,2021.5
1999-2000,Other Hispanic,5.672184806506358,310.0,24.0,1416340.9615948016,1999.5
2001-2002,Other Hispanic,4.286682089353716,237.0,16.0,1085118.3174930909,2001.5
2003-2004,Other Hispanic,2.543225200846193,152.0,7.0,670447.8212139091,2003.5
2005-2006,Other Hispanic,3.3113564036916876,154.0,6.0,643118.2183141818,2005.5
2007-2008,Other Hispanic,5.025349981637631,666.0,51.0,956545.638332,2007.5
2009-2010,Other Hispanic,4.499488046256402,632.0,47.0,1001007.2653471818,2009.5
2011-2012,Other Hispanic,6.159125150878678,578.0,50.0,1335370.0151981818,2011.5
2013-2014,Other Hispanic,5.246939886970593,508.0,38.0,1157253.8887348182,2013.5
2015-2016,Other Hispanic,6.688123134541747,768.0,85.0,1365886.0763481818,2015.5
2017-2018,Other Hispanic,5.922920513430462,517.0,45.0,1515695.6933925818,2017.5
2021-2022,Other Hispanic,7.754943328081982,779.0,93.0,2131227.164088182,2021.5
2011-2012,Other/Multiracial,14.593453977538081,152.0,18.0,520139.77748090914,2011.5
2013-2014,Other/Multiracial,7.038757384146562,178.0,14.0,558180.6096968182,2013.5
2015-2016,Other/Multiracial,18.285599002589958,205.0,31.0,790861.22551,2015.5
2017-2018,Other/Multiracial,13.420223418637217,273.0,41.0,1007659.4070506829,2017.5
2021-2022,Other/Multiracial,10.871092751148396,512.0,69.0,1361371.7932617273,2021.5
