cycle,year,mean_age_weighted,20-34,35-44,45-54,55-64,65-74,75+
1999-2000,1999.5,44.99385395801411,0.31770231543154087,0.22989038398361927,0.17388185555953495,0.12014696070537928,0.0938554326733188,0.06452305164660677
2001-2002,2001.5,45.298273821878105,0.30091985498059065,0.22208877905856925,0.20771122948935264,0.11765210970015767,0.08283930606023004,0.06878872071109979
2003-2004,2003.5,46.301722759923926,0.2919618996506817,0.2086136404552188,0.2067120099240155,0.12124783333589181,0.09497003861306624,0.07649457802112594
2005-2006,2005.5,46.57273998402473,0.2811377064580195,0.20257366951780562,0.2138517864709667,0.1301428269207731,0.09546683264857067,0.07682717798386429
2007-2008,2007.5,46.78023645346285,0.2747794660700376,0.19424407012033024,0.21661527662329824,0.14660604852962866,0.08894012333919388,0.07881501531751148
2009-2010,2009.5,46.99553037709921,0.27716267858030685,0.19491582661293128,0.19500414738101582,0.15631995402554327,0.10185904627317591,0.07473834712702689
2011-2012,2011.5,47.35278830944539,0.2760275926963802,0.18000755038091465,0.19206783670957236,0.17538125954008624,0.10131554418908113,0.07520021648396531
2013-2014,2013.5,47.49362792731139,0.27676340915538483,0.18077428056873188,0.18246805132884067,0.1730419885219635,0.11266839619247333,0.07428387423260584
2015-2016,2015.5,47.94281606713445,0.27743555840422157,0.1666391692619016,0.18547422390344662,0.16627810085405623,0.1235350644651309,0.08063788311124308
2017-2018,2017.5,48.30574833528383,0.2759200693024368,0.16420236927570647,0.16065660353629488,0.19554628147225764,0.12053724420572602,0.08313743220757833
2021-2022,2021.5,48.79903802373179,0.2686284539179026,0.17764129501339385,0.1466730963477328,0.18263289386046588,0.1372680408694021,0.08715621999110276
