cycle,year,instrument,n_hypertensive,n_measured_high,n_on_med,n_told,ascertained_std,se_std,design_dof,crit,lo_std,hi_std,ascertained_crude,se_crude,measured_only_std
1999-2000,1999.5,auscultatory,1574,1121,951,1100,0.644255537408765,0.029803014410102618,14,2.144786687917804,0.5803344288421544,0.7081766459753756,0.6965855516847197,0.0220660570927562,0.4998292118765296
2001-2002,2001.5,auscultatory,1680,1098,1055,1213,0.6463854622641174,0.023670113925149665,15,2.1314495455597755,0.595933808695009,0.6968371158332258,0.7153459873209803,0.014762622294341084,0.47023118593775826
2003-2004,2003.5,auscultatory,1749,1028,1199,1354,0.6791135338050249,0.02657684345627884,15,2.1314495455597755,0.6224663328977261,0.7357607347123237,0.7681631630798887,0.019117396849877278,0.4961052732853434
2005-2006,2005.5,auscultatory,1580,873,1110,1248,0.687413257926087,0.02200739545797887,15,2.1314495455597755,0.6405056048782236,0.7343209109739504,0.787794572851536,0.015174186720888204,0.5104408117995126
2007-2008,2007.5,auscultatory,2174,1123,1602,1748,0.7346176341646233,0.03580720292578069,16,2.1199052992212546,0.65870975493197,0.8105255133972766,0.8043575565741907,0.010760114167382531,0.5269740666952892
2009-2010,2009.5,auscultatory,2180,1042,1689,1823,0.7291144458267873,0.027189164518128358,16,2.1199052992212546,0.6714759918834085,0.7867528997701662,0.8256119798313164,0.01396524229688813,0.5307230752412898
2011-2012,2011.5,auscultatory,1899,931,1446,1582,0.7315949075880139,0.02276257206863912,17,2.1098155778333156,0.6835700784460456,0.7796197367299823,0.827420473947477,0.01709625177455987,0.5289242067871562
2013-2014,2013.5,auscultatory,2012,936,1542,1713,0.809231805187135,0.012825187220013816,15,2.1314495455597755,0.7818955657153175,0.8365680446589525,0.8526028213473443,0.011688128662389753,0.6144275996713561
2015-2016,2015.5,auscultatory,2008,1059,1505,1662,0.7392144467509091,0.020894662109185707,15,2.1314495455597755,0.6946785286936601,0.7837503648081581,0.8220420797235587,0.01219315423016478,0.5784676056051435
2017-2018,2017.5,auscultatory,2173,1228,1568,1728,0.6967013191462247,0.025262997300890325,15,2.1314495455597755,0.6428545150297642,0.7505481232626852,0.7800669625531463,0.01722016252351414,0.5077269846625921
2021-2022,2022.6,oscillometric,2443,1099,1923,2056,0.7205178179718159,0.018355132609076084,15,2.1314495455597755,0.6813947789135113,0.7596408570301205,0.8234638516473348,0.009149613987301356,0.530279684928628
