cycle,age_eligible,weight_used,no_weight,no_outcome,analysed,lost_pct
1999-2000,4880,wtint2yr,0,0,4880,0.0
2001-2002,5411,wtint2yr,0,1,5410,0.018480872297172428
2003-2004,5041,wtint2yr,0,2,5039,0.0396746677246578
2005-2006,4979,wtint2yr,0,0,4979,0.0
2007-2008,5935,wtint2yr,0,1,5934,0.016849199663016005
2009-2010,6218,wtint2yr,0,2,6216,0.0321646831778707
2011-2012,5560,wtint2yr,0,3,5557,0.0539568345323741
2013-2014,5769,wtint2yr,0,1,5768,0.01733402669440111
2015-2016,5719,wtint2yr,0,0,5719,0.0
2017-2018,5569,wtint2yr,0,1,5568,0.01795654516071108
2021-2022,7809,wtint2yr,0,2,7807,0.025611473940325265
