cycle,year,age_group,n,p
1999-2000,1999.5,20-34,1196,0.008163271710909725
1999-2000,1999.5,35-44,767,0.02256244905727633
1999-2000,1999.5,45-54,644,0.0828286935262856
1999-2000,1999.5,55-64,641,0.15365579796289458
1999-2000,1999.5,65-74,657,0.21192869394050268
1999-2000,1999.5,75+,539,0.31666128574227714
2001-2002,2001.5,20-34,1402,0.008918627406487791
2001-2002,2001.5,35-44,907,0.030574892827889725
2001-2002,2001.5,45-54,818,0.052327954183092225
2001-2002,2001.5,55-64,658,0.13121493148148639
2001-2002,2001.5,65-74,617,0.21728981368481617
2001-2002,2001.5,75+,625,0.35594906686734923
2003-2004,2003.5,20-34,1302,0.006873109448638832
2003-2004,2003.5,35-44,756,0.02579259516526732
2003-2004,2003.5,45-54,701,0.06861677579675081
2003-2004,2003.5,55-64,609,0.1615184880571059
2003-2004,2003.5,65-74,668,0.29342931556462504
2003-2004,2003.5,75+,704,0.3700893778579719
2005-2006,2005.5,20-34,1450,0.009000358840161257
2005-2006,2005.5,35-44,809,0.02555001524408287
2005-2006,2005.5,45-54,766,0.06108072469232111
2005-2006,2005.5,55-64,623,0.12930537079573784
2005-2006,2005.5,65-74,569,0.22132894445230736
2005-2006,2005.5,75+,556,0.37921912073166536
2007-2008,2007.5,20-34,1333,0.009359663815689409
2007-2008,2007.5,35-44,965,0.022916152752474956
2007-2008,2007.5,45-54,977,0.056950721611617953
2007-2008,2007.5,55-64,963,0.11437831251626733
2007-2008,2007.5,65-74,764,0.24727363034352542
2007-2008,2007.5,75+,704,0.34839366815550543
2009-2010,2009.5,20-34,1519,0.008035774888268505
2009-2010,2009.5,35-44,1065,0.022436825798505505
2009-2010,2009.5,45-54,1052,0.06313495014220658
2009-2010,2009.5,55-64,963,0.11595379011047031
2009-2010,2009.5,65-74,791,0.18896404337447664
2009-2010,2009.5,75+,668,0.32095705642949196
2011-2012,2011.5,20-34,1424,0.010414138818582159
2011-2012,2011.5,35-44,903,0.039953018503906354
2011-2012,2011.5,45-54,912,0.04964063800318895
2011-2012,2011.5,55-64,913,0.10017435065957402
2011-2012,2011.5,65-74,637,0.22762793692943434
2011-2012,2011.5,75+,528,0.3465713031531034
2013-2014,2013.5,20-34,1420,0.010574396629800297
2013-2014,2013.5,35-44,994,0.03087088746515896
2013-2014,2013.5,45-54,938,0.04415090642942955
2013-2014,2013.5,55-64,971,0.10626311173158492
2013-2014,2013.5,65-74,733,0.25398548118507763
2013-2014,2013.5,75+,531,0.3215203603241952
2015-2016,2015.5,20-34,1409,0.0076385973854472345
2015-2016,2015.5,35-44,915,0.028094452574658185
2015-2016,2015.5,45-54,927,0.04329123887066347
2015-2016,2015.5,55-64,921,0.1333045453791089
2015-2016,2015.5,65-74,728,0.20839550897205736
2015-2016,2015.5,75+,574,0.29218497083486167
2017-2018,2017.5,20-34,1198,0.010139667980860249
2017-2018,2017.5,35-44,778,0.02246355012378189
2017-2018,2017.5,45-54,801,0.06189626129092783
2017-2018,2017.5,55-64,1095,0.1342454620105618
2017-2018,2017.5,65-74,775,0.2089876089252971
2017-2018,2017.5,75+,617,0.33073442733807695
2021-2022,2021.5,20-34,1135,0.009369670030751256
2021-2022,2021.5,35-44,871,0.013136596125921373
2021-2022,2021.5,45-54,762,0.07267857213493185
2021-2022,2021.5,55-64,1290,0.12724277825094363
2021-2022,2021.5,65-74,1303,0.20976080187400467
2021-2022,2021.5,75+,703,0.32757679945419876
