cycle,year,n,n_cases,n_psu,p_std,se_std,lo_std,hi_std,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
1999-2000,1999.5,4444,480,27,0.08833994237873001,0.006229835346481544,0.07612946509962619,0.10055041965783383,0.08096667620547218,0.005799302525540559,2.8081334967214735,1582.5458459109648,1.7703505722903645,1.5862019312302043
2001-2002,2001.5,5027,537,30,0.085689894683312,0.00550638188615593,0.07489738618644638,0.09648240318017763,0.0782663682244915,0.006120488678592562,2.401699459990161,2093.1011909460954,1.5498315131564562,1.5496519715867387
2003-2004,2003.5,4740,635,30,0.09905431431288855,0.007310592324750481,0.0847255533563776,0.1133830752693995,0.09733187584413547,0.0091452303917355,3.7011733944092846,1280.6749359972946,1.5207023034225864,2.4338579523942294
2005-2006,2005.5,4773,535,30,0.08833182967720117,0.004716382999627124,0.079087718997932,0.09757594035647034,0.0878603973552915,0.006182995733183025,1.5341192210617938,3111.2314704567184,1.513479644578518,1.0136371682019045
2007-2008,2007.5,5706,678,32,0.08501980411913865,0.005753361668407306,0.07374321524906033,0.09629639298921697,0.08557931843278768,0.006441606569674469,2.9839122735806876,1912.2546096681367,1.6263807478500576,1.834694783202012
2009-2010,2009.5,6058,647,31,0.07817601909094019,0.004074010841806117,0.0701909578410002,0.08616108034088017,0.08027347473551043,0.00591565368526747,1.6583304743587328,3653.0716245461235,1.5407684760515132,1.0763008850028477
2011-2012,2011.5,5317,550,31,0.08411008794623803,0.0033061131079730574,0.07763010625461084,0.09059006963786523,0.08629399373263937,0.005534455865235462,0.8798822184943627,6042.854245990273,1.928593075836647,0.4562301034460881
2013-2014,2013.5,5587,574,30,0.08211225620543677,0.004436177428381195,0.07341734844580963,0.09080716396506391,0.08745129338504311,0.004591030499059097,1.7835887235437762,3132.448599977299,1.5672696944208813,1.138022849476986
2015-2016,2015.5,5474,598,30,0.0770889117231948,0.0035293920669602916,0.07017130327195263,0.08400652017443698,0.08630122050132254,0.0053782960745003385,1.0716304367702434,5108.10426073557,1.8950406760844425,0.5654920500094278
2017-2018,2017.5,5264,647,30,0.08346350149346132,0.004977936201785904,0.07370674653796096,0.09322025644896169,0.09536875154046827,0.006914406494669569,2.08441913639613,2525.40379623516,2.325452091919329,0.8963500661395004
2021-2022,2021.5,6064,773,30,0.08210483747715198,0.0042832228676787255,0.07370972065650168,0.09049995429780229,0.09609307987158705,0.005063291185146153,1.8692744397074015,3244.039436472047,1.5259964418954222,1.2249533409039917
