cycle,year,race_eth,n,n_cases,n_psu,n_strata,design_dof,crit,p_std,se_std,lo_std,hi_std,lo_std_normal,hi_std_normal,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
1999-2000,1999.5,Mexican American,1282,124,27,13,14,2.144786687917804,0.07287514214786495,0.0058770744792822505,0.060270071040798914,0.08548021325493098,0.06135607616847173,0.08439420812725816,0.0381247943889395,0.004333569327331603,0.7411564318112133,1729.7293054140964,1.5838917000080106,0.4679337809570344
1999-2000,1999.5,Non-Hispanic Black,910,102,27,13,14,2.144786687917804,0.09293291217351463,0.010346679191924777,0.07074149237851822,0.11512433196851103,0.07265342095734206,0.11321240338968719,0.07004050762734097,0.007568858457408641,1.4197247396400379,640.9693193278612,1.2534115977971516,1.1326883699936865
1999-2000,1999.5,Non-Hispanic White,2214,298,27,13,14,2.144786687917804,0.08838263739831745,0.007336995438836378,0.07264634725178754,0.10411892754484736,0.07400212633819815,0.10276314845843675,0.08930623573177625,0.007132055694634821,1.8369501328340063,1205.2586297398773,1.31909406576673,1.3925846385839586
1999-2000,1999.5,Other Hispanic,310,24,27,13,14,2.144786687917804,0.07437603050339606,0.008343465867277692,0.05648107598016229,0.09227098502662982,0.058022837403531785,0.09072922360326033,0.05563087102034943,0.005630734472903213,0.4022773740341795,770.6125673716385,1.4716060570940455,0.27335941714493184
2001-2002,2001.5,Mexican American,1113,74,30,15,15,2.1314495455597755,0.07290018408657668,0.007554113946502808,0.05679897134819651,0.08900139682495686,0.05809412075143118,0.08770624742172219,0.03486837435431199,0.006593361678586022,0.9421941706848694,1181.2851688426113,1.356963662052759,0.6943400158995833
2001-2002,2001.5,Non-Hispanic Black,1012,120,30,15,15,2.1314495455597755,0.11162697886473656,0.01001434756511897,0.09028190229798609,0.13297205543148705,0.09199885763710339,0.13125510009236974,0.09202993298183072,0.010526342776746665,1.2111421839489984,835.5748923716917,1.1942585797716954,1.0141373103474214
2001-2002,2001.5,Non-Hispanic White,2858,413,30,15,15,2.1314495455597755,0.08670331425936195,0.006395358973947304,0.07307192928065034,0.10033469923807356,0.07416841067042523,0.09923821784829867,0.08928954097512176,0.006592617845428891,1.9765345369656555,1445.965120542521,1.3219362448703376,1.4951814390712348
2001-2002,2001.5,Other Hispanic,237,16,30,15,15,2.1314495455597755,0.05273743000932106,0.0107373966829576,0.029851210728936043,0.07562364928970608,0.03169213251072417,0.07378272750791795,0.04301564975610116,0.01303058222859046,0.6463941462531094,366.6493599513471,1.4460576164042014,0.447004420100803
2003-2004,2003.5,Mexican American,984,101,30,15,15,2.1314495455597755,0.08197820197373173,0.007308207297019461,0.06640112685164297,0.0975552770958205,0.06765411567157359,0.09630228827588988,0.04484558700865859,0.010148124500353113,0.8304382973442902,1184.9164509233187,1.5659440451038544,0.5303116033684429
2003-2004,2003.5,Non-Hispanic Black,994,97,30,15,15,2.1314495455597755,0.09709458744983271,0.00795534706107231,0.08013816657173983,0.11405100832792558,0.08150210721013099,0.11268706768953443,0.0806229306165521,0.007165325030737288,0.8500714721886786,1169.3134430693794,1.1306814318921308,0.7518222624087252
2003-2004,2003.5,Non-Hispanic White,2689,454,30,15,15,2.1314495455597755,0.09810378904048148,0.007772412788241518,0.0815372833350811,0.11467029474588185,0.08286985997552809,0.11333771810543486,0.1066337289053874,0.009738123848984195,2.282430289714579,1178.130176469163,1.3079841536712247,1.7449984262487415
2003-2004,2003.5,Other Hispanic,152,7,30,15,15,2.1314495455597755,0.028544494667482552,0.010376249491150766,0.006428042404954398,0.050660946930010706,0.00820704566482705,0.04888194367013805,0.024710324699625422,0.009719198055612211,0.5142785292905265,295.5596847678859,1.3012027821468386,0.39523319220239034
2005-2006,2005.5,Mexican American,1003,62,30,15,15,2.1314495455597755,0.07662943164230067,0.0068566923977489485,0.062014737747075506,0.09124412553752584,0.06319031454271273,0.0900685487418886,0.04779760327978321,0.005435523307184585,0.5870847450641297,1708.441597968004,1.2418209056829332,0.47276120282518946
2005-2006,2005.5,Non-Hispanic Black,1123,136,30,15,15,2.1314495455597755,0.1130623384482223,0.010577415619483615,0.09051711073287708,0.13560756616356753,0.09233060383403442,0.1337940730624102,0.09575962625734157,0.01050859371865958,1.4927618518403294,752.2968239143612,1.1424343106045516,1.3066500524221756
2005-2006,2005.5,Non-Hispanic White,2495,343,30,15,15,2.1314495455597755,0.08626537655693853,0.005096149508540311,0.07540319100285561,0.09712756211102144,0.07627692352019952,0.09625382959367754,0.09560350531504626,0.007382571242934583,1.0532308054284705,2368.901466934397,1.239885163649687,0.8494583501009185
2005-2006,2005.5,Other Hispanic,154,6,30,15,15,2.1314495455597755,0.0387297273916275,0.01724155940374031,0.0019802134357833484,0.07547924134747165,0.004936270960296495,0.0725231838229585,0.03294333557103988,0.015475889026722178,0.5637553391132903,273.16814461078246,1.358441551870835,0.4150015422723863
2007-2008,2007.5,Mexican American,1032,72,32,16,16,2.1199052992212546,0.07303946305566916,0.006497981184443902,0.05926435830852653,0.0868145678028118,0.060303419934159115,0.08577550617717922,0.042265006411474966,0.004539360858092351,0.6748200324841374,1529.2966277260873,1.2331593087651274,0.547228592192111
2007-2008,2007.5,Non-Hispanic Black,1227,158,32,16,16,2.1199052992212546,0.10970814820205439,0.010758061146577177,0.08690207736807914,0.13251421903602964,0.08862234835476313,0.13079394804934566,0.09746134787918888,0.010575430339970434,1.6627789783994749,737.921284752506,1.1870002008246163,1.4008245131250459
2007-2008,2007.5,Non-Hispanic White,2761,414,32,16,16,2.1199052992212546,0.0830601410547232,0.006495049906298134,0.06929125033965527,0.09682903176979113,0.07032984323837886,0.09579043887106754,0.09348948644500234,0.008074841648502725,1.8610764651629004,1483.5500054310392,1.324016816831304,1.4056290233661166
2007-2008,2007.5,Other Hispanic,666,51,32,16,16,2.1199052992212546,0.06205693483903691,0.011440256633170096,0.037804674177928516,0.0863091955001453,0.039634031838023526,0.0844798378400503,0.04879112839626422,0.007368074460247883,1.7719009269102002,375.86751600235084,1.277477739842813,1.3870307651139373
2009-2010,2009.5,Mexican American,1138,84,31,15,16,2.1199052992212546,0.07444291592166297,0.009914211791777807,0.05342572580667135,0.09546010603665459,0.05501106080977847,0.09387477103354747,0.05098394707757536,0.010584111888932416,1.791897005593822,635.0811438645576,1.2127053682623998,1.4776029301835325
2009-2010,2009.5,Non-Hispanic Black,1122,123,31,15,16,2.1199052992212546,0.08997716498707728,0.006008420986807276,0.07723988149719234,0.10271444847696222,0.07820065985293502,0.10175367012121954,0.08494708777619452,0.006631093541092896,0.5999779422701882,1870.0687491186627,1.1227660167507358,0.5343748682441541
2009-2010,2009.5,Non-Hispanic White,2976,386,31,15,16,2.1199052992212546,0.0764326109143702,0.005614711270664348,0.06452995473809155,0.08833526709064886,0.06542777682386808,0.08743744500487233,0.08805536049888785,0.00850444040709945,1.5740688985398155,1890.6415105213537,1.3110093438808392,1.2006542179785458
2009-2010,2009.5,Other Hispanic,632,47,31,15,16,2.1199052992212546,0.07240497842147595,0.009127994957169885,0.05305449354050662,0.09175546330244527,0.05451410830542297,0.09029584853752892,0.04461637045249456,0.00890572189510489,0.8085908802733882,781.606638682739,1.2132604974123273,0.6664610625648584
2011-2012,2011.5,Mexican American,540,41,31,14,17,2.1098155778333156,0.09791985800504571,0.01584662669243532,0.06448639815323645,0.13135331785685497,0.06686046968787249,0.12897924632221894,0.052289042527851486,0.012423522200040869,1.4820642779191135,364.3566666070549,1.1601145401685196,1.2775154750700972
2011-2012,2011.5,Non-Hispanic Black,1455,167,31,14,17,2.1098155778333156,0.1049364450140564,0.005718041995759848,0.09287243093669717,0.11700045909141563,0.0937290827023671,0.1161438073257457,0.09541050872043273,0.0070782797868521735,0.5794979681293658,2510.7939630863193,1.154793677374085,0.5018194847127161
2011-2012,2011.5,Non-Hispanic White,2040,266,31,14,17,2.1098155778333156,0.0793896195043085,0.003221824186445288,0.07259216464670609,0.08618707436191092,0.07307484409887574,0.08570439490974127,0.09053519865262483,0.006089191377128942,0.3170210006905198,6434.904929189456,1.4136506013923094,0.22425697012987844
2011-2012,2011.5,Other Hispanic,577,50,31,14,17,2.1098155778333156,0.07590685798064359,0.011335860470387553,0.05199028297207503,0.09982343298921215,0.053688571458683984,0.09812514450260319,0.05895386741321916,0.011822378097261875,1.1264292029501757,512.238140212281,1.240067711610447,0.9083610454523554
2013-2014,2013.5,Mexican American,767,54,30,15,15,2.1314495455597755,0.07246070051290117,0.0073679376545883295,0.05675631314731612,0.08816508787848622,0.05801954270990804,0.0869018583158943,0.04954242072099281,0.00691789620690669,0.5301231053929643,1446.8337489863718,1.2264222111300394,0.43225171607459945
2013-2014,2013.5,Non-Hispanic Black,1177,128,30,15,15,2.1314495455597755,0.09061544484085102,0.0062663664184416604,0.07725900098595251,0.10397188869574953,0.07833336666070537,0.10289752302099667,0.08403518120247096,0.0055605693950777765,0.6893400425004131,1707.4301903755934,1.1226903798600523,0.6140072586943713
2013-2014,2013.5,Non-Hispanic White,2471,325,30,15,15,2.1314495455597755,0.08324388543160328,0.006611560229626826,0.06915167838472411,0.09733609247848246,0.0702852273815347,0.09620254348167187,0.10012856371115104,0.007090823607317071,1.6525686487212008,1495.2480200517673,1.30352775916171,1.2677663648559019
2013-2014,2013.5,Other Hispanic,508,38,30,15,15,2.1314495455597755,0.06764182795052623,0.011536385353795304,0.04305260463077678,0.09223105127027567,0.045030512657087435,0.09025314324396502,0.051275623576188326,0.01008768805826247,1.0711513702114268,474.2560333930484,1.223571529146789,0.875430119690962
2015-2016,2015.5,Mexican American,995,72,30,15,15,2.1314495455597755,0.06396498697747774,0.003860097811892619,0.05573738325050293,0.07219259070445255,0.056399195266168205,0.07153077868878727,0.04346557705026566,0.00665942100437847,0.294922471235998,3373.7680137767375,1.221279202461989,0.24148652547383176
2015-2016,2015.5,Non-Hispanic Black,1198,149,30,15,15,2.1314495455597755,0.10584946788531795,0.011917962409817257,0.08044693232291447,0.13125200344772142,0.08249026156207612,0.12920867420855978,0.10182258312469844,0.010328057005717907,2.0106061672296702,595.8402095476878,1.0965865382691227,1.8335134502045385
2015-2016,2015.5,Non-Hispanic White,1863,267,30,15,15,2.1314495455597755,0.07009436522829302,0.004427754706052069,0.060656829472228176,0.07953190098435786,0.06141596600443096,0.07877276445215507,0.09035617096420849,0.006631107824811555,0.5965302022769245,3123.0606478750387,1.3196162619503822,0.4520482351401594
2015-2016,2015.5,Other Hispanic,768,85,30,15,15,2.1314495455597755,0.08841384776057296,0.01277221160491307,0.0611905231394877,0.11563717238165822,0.06338031301494335,0.11344738250620257,0.06622422156581874,0.007601914524918533,1.7520203404057835,438.3510752061956,1.2810618175260744,1.3676313792485064
2017-2018,2017.5,Mexican American,735,53,30,15,15,2.1314495455597755,0.06260892598548295,0.011609426235518309,0.03786401971157772,0.0873538322593882,0.03985445056386707,0.08536340140709883,0.04248193597106918,0.008898313450666655,1.5869320489512848,463.1578273850608,1.408295268799041,1.1268461125375935
2017-2018,2017.5,Non-Hispanic Black,1298,162,30,15,15,2.1314495455597755,0.09233055036339036,0.008503238755774667,0.07420632598160817,0.11045477474517254,0.07566420240207201,0.1089968983247087,0.09268729522563458,0.010452966083444183,1.3708027145507615,946.8904505528205,1.3009462232117703,1.0536966786886315
2017-2018,2017.5,Non-Hispanic White,1934,346,30,15,15,2.1314495455597755,0.08550670999644237,0.006135205873425266,0.07242982822561442,0.09858359176727033,0.07348170648452886,0.09753171350835589,0.10981103361340461,0.009152593997423878,0.9261104399171292,2088.3038530189333,1.7596375466850487,0.5263075010315692
2017-2018,2017.5,Other Hispanic,517,45,30,15,15,2.1314495455597755,0.07762815019944314,0.014380071284694328,0.04697775379456423,0.10827854660432204,0.04944321048144225,0.10581308991744402,0.05999404197667759,0.012571557516546128,1.5655531436514647,330.23471742016983,1.4278326457785184,1.0964542296186643
2021-2022,2022.6,Mexican American,545,37,30,15,15,2.1314495455597755,0.06485467606302064,0.009722438974330129,0.04413178792945204,0.08557756419658924,0.0457986956733336,0.08391065645270769,0.04921170023453325,0.009095845218358049,0.8235338317667559,661.782162404661,1.5019309843921147,0.5483166938593184
2021-2022,2022.6,Non-Hispanic Black,995,121,30,15,15,2.1314495455597755,0.08670921523548361,0.010096278407097743,0.06518950721283015,0.10822892325813707,0.06692050955757203,0.10649792091339519,0.09199582063531007,0.010512992725035168,1.496634455499163,664.8249987456983,1.5362145671327183,0.9742352972817919
2021-2022,2022.6,Non-Hispanic White,4554,621,30,15,15,2.1314495455597755,0.07994392255024826,0.004644304745660377,0.07004482131066934,0.08984302378982718,0.07084108524875393,0.0890467598517426,0.10600607721851592,0.006679532100348722,1.6809329433239477,2709.209798098625,1.4481699062628857,1.1607290940478974
2021-2022,2022.6,Other Hispanic,779,93,30,15,15,2.1314495455597755,0.09391545123749186,0.010890726707628516,0.07070241674570135,0.11712848572928236,0.07256962689053997,0.11526127558444374,0.08148607818840697,0.011185441379754378,1.2824678638716305,607.4226278452577,1.547937916698411,0.8285008397539609
