outcome,cycle,year,n,n_cases,n_psu,n_strata,design_dof,crit,p_std,se_std,lo_std,hi_std,lo_std_normal,hi_std_normal,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
Coronary heart disease,1999-2000,1999.5,4847,203,27,13,14,2.144786687917804,0.03306385068961915,0.0020506853833889664,0.02866556797821888,0.03746213340101943,0.02904450733817678,0.03708319404106153,0.030221095297963248,0.0018953130832643059,0.8468381677660024,5723.643766301425,1.7685007520717,0.47884524039584303
Coronary heart disease,2001-2002,2001.5,5371,240,30,15,15,2.1314495455597755,0.036598884218246364,0.003886379210251345,0.028315263016683176,0.04488250541980955,0.028981580966153726,0.044216187470339,0.033349536691044464,0.003912150630743214,3.0142650607292127,1781.860550346108,1.5798956158093573,1.9078887431338614
Coronary heart disease,2003-2004,2003.5,5012,264,30,15,15,2.1314495455597755,0.0396945139820824,0.0041033496532448775,0.030948431228400748,0.048440596735764056,0.03165194866172244,0.047737079302442365,0.03872619124603471,0.004453357789317228,3.0765005875464695,1629.1236934224364,1.5334778311329598,2.006224364700139
Coronary heart disease,2005-2006,2005.5,4953,200,30,15,15,2.1314495455597755,0.03370026177505813,0.0020703513149110653,0.029287412405741856,0.038113111144374406,0.029642373197832445,0.03775815035228382,0.033563404421666096,0.003034311101058294,0.7916139713064932,6256.837523756035,1.5197865659587304,0.5208718046583848
Coronary heart disease,2007-2008,2007.5,5906,253,32,16,16,2.1199052992212546,0.03265126318089777,0.0021720231927641327,0.028046779704525616,0.037255746657269925,0.028394097723080068,0.03690842863871547,0.033253786322740495,0.002354681610622689,1.2012412255380107,4916.581178234894,1.639246623556705,0.7328007929225772
Coronary heart disease,2009-2010,2009.5,6190,254,31,15,16,2.1199052992212546,0.030460671180052294,0.002227514060423971,0.025738552319269664,0.035182790040834924,0.026094743621621314,0.034826598738483275,0.03125556780797927,0.0031374031739051242,1.2853129319281205,4815.947810245924,1.5469909494772596,0.8308470921322699
Coronary heart disease,2011-2012,2011.5,5538,196,31,14,17,2.1098155778333156,0.02837745987593334,0.0036903667214995472,0.020591466678995935,0.03616345307287075,0.02114434110179423,0.03561057865007245,0.029240960605187858,0.004461706038474316,3.323916151123388,1666.107009988298,1.9463021481972544,1.7078109656314857
Coronary heart disease,2013-2014,2013.5,5751,232,30,15,15,2.1314495455597755,0.03447797376717571,0.003957089230279008,0.026043637725558032,0.04291230980879338,0.02672207887582885,0.042233868658522564,0.03673390037329451,0.0042557462384380865,3.4437359600542763,1669.9886596152858,1.5713474075759142,2.191581532798567
Coronary heart disease,2015-2016,2015.5,5693,244,30,15,15,2.1314495455597755,0.030085856862460913,0.002591378013577276,0.024562465373048036,0.03560924835187379,0.025006755955849454,0.03516495776907237,0.03500965999448021,0.003643176001823658,1.54987927100396,3673.189329329029,1.9084844386714175,0.8120995066026848
Coronary heart disease,2017-2018,2017.5,5553,265,30,15,15,2.1314495455597755,0.036495501330389514,0.004496117614131609,0.02691225348496539,0.04607874917581364,0.027683110806691558,0.04530789185408747,0.042282388894504384,0.006141207176665007,4.678102697009521,1187.0196871799667,2.33354374626765,2.0047203762482875
Coronary heart disease,2021-2022,2022.6,7773,402,30,15,15,2.1314495455597755,0.03255714775184734,0.0023888938608754707,0.02746534101769378,0.037648954486000905,0.02787491578453142,0.03723937971916327,0.03921305907718519,0.002835306991975581,2.1129226909255507,3678.790536626351,1.4814386662527028,1.4262640358039163
