outcome,cycle,year,n,n_cases,n_psu,n_strata,design_dof,crit,p_std,se_std,lo_std,hi_std,lo_std_normal,hi_std_normal,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
Stroke,1999-2000,1999.5,4877,190,27,13,14,2.144786687917804,0.025150775277873124,0.0029747671963744056,0.01877053419543473,0.03153101636031152,0.01932023157297929,0.03098131898276696,0.023132248055141788,0.002747609731934645,1.9219499108563818,2537.527108511849,1.771766093978548,1.0847650360779804
Stroke,2001-2002,2001.5,5401,204,30,15,15,2.1314495455597755,0.026333222935057462,0.002150302362526169,0.02174996194163495,0.030916483928479975,0.02211863030450617,0.030547815565608753,0.024358703966229408,0.0018564408741783625,1.1132157230667465,4851.710129570426,1.5809691737007214,0.7041349961687988
Stroke,2003-2004,2003.5,5033,212,30,15,15,2.1314495455597755,0.027931474786193476,0.002797403828848934,0.02196894966644624,0.03389399990594071,0.022448563281649566,0.03341438629073738,0.027325621466291035,0.0029624937361109158,1.5644473258233955,3217.110552029002,1.5347183394415405,1.0193709722610553
Stroke,2005-2006,2005.5,4970,193,30,15,15,2.1314495455597755,0.029412765322980913,0.0030268763224537937,0.02296113116102113,0.0358643994849407,0.023480087730971478,0.03534544291499035,0.028991815037310166,0.003573541376348426,1.6950097232635624,2932.1365723087356,1.5207952890803653,1.114554822357811
Stroke,2007-2008,2007.5,5917,258,32,16,16,2.1199052992212546,0.03229209292026601,0.0033771063762815675,0.025132947217152826,0.039451238623379195,0.025672964422754137,0.038911221417777885,0.03224289070537443,0.003681069010458614,2.6448095632865094,2237.21211619009,1.6408453697330265,1.611857894761182
Stroke,2009-2010,2009.5,6210,227,31,15,16,2.1199052992212546,0.025953936604191975,0.0017792478679589312,0.02218209962027772,0.02972577358810623,0.02246661078299247,0.02944126242539148,0.02607877933639679,0.0020300914802459605,0.806723388976476,7697.805821495877,1.5474859495144635,0.5213122543888635
Stroke,2011-2012,2011.5,5555,229,31,14,17,2.1098155778333156,0.027256597026623648,0.002513036258437305,0.021954553980912672,0.032558640072334624,0.022331045960086532,0.032182148093160765,0.028421293257620713,0.002980392104268959,1.2178052677215343,4561.484620930559,1.9480570904142427,0.6251383872238443
Stroke,2013-2014,2013.5,5764,202,30,15,15,2.1314495455597755,0.026955772613913454,0.0018347753954395477,0.023045041431099575,0.030866503796727333,0.02335961283885194,0.030551932388974967,0.028783307831488466,0.001962794436744477,0.8227870037081391,7005.458246208054,1.5711025409111081,0.5237003838279017
Stroke,2015-2016,2015.5,5714,209,30,15,15,2.1314495455597755,0.02506891144798542,0.0017375868544047685,0.021365332736793734,0.028772490159177103,0.021663241213352072,0.028474581682618766,0.027438058776601548,0.0021710558783956343,0.7061669348359028,8091.571154245284,1.9101356347164957,0.3696946551864694
Stroke,2017-2018,2017.5,5559,273,30,15,15,2.1314495455597755,0.030379249627505163,0.0029698976360092856,0.02404906266087412,0.036709436594136204,0.024558250260926964,0.03620024899408336,0.033522163737038285,0.0033612902118730086,1.702223885644421,3265.7278792063807,2.3356353389151847,0.7288055019903237
Stroke,2021-2022,2022.6,7785,367,30,15,15,2.1314495455597755,0.03077931495613263,0.0017185293262638008,0.027116356404636506,0.034442273507628754,0.02741099747665558,0.03414763243560968,0.03508700291858478,0.0019376026910617081,0.8820917508189643,8825.612520207947,1.4816802487454548,0.5953320573489693
