outcome,cycle,year,n,n_cases,n_psu,n_strata,design_dof,crit,p_std,se_std,lo_std,hi_std,lo_std_normal,hi_std_normal,p_crude,se_crude,deff_std,n_effective_std,kish_weighting,deff_clustering
Any cardiovascular disease,1999-2000,1999.5,4880,564,27,13,14,2.144786687917804,0.08692008202313004,0.006071458545328379,0.07389809855886494,0.09994206548739513,0.07502002327428642,0.09882014077197365,0.0802078674642744,0.005679133007529275,2.919536048610511,1671.4984568601333,1.7717089756555318,1.6478643438210745
Any cardiovascular disease,2001-2002,2001.5,5410,638,30,15,15,2.1314495455597755,0.08755686515757463,0.005395843493534856,0.07605589699536809,0.09905783331978117,0.07698101191024631,0.09813271840490295,0.08092767981713739,0.005809888532300015,2.4636883779949534,2195.894597839874,1.5809476503724986,1.558361769546554
Any cardiovascular disease,2003-2004,2003.5,5039,688,30,15,15,2.1314495455597755,0.09743320066448297,0.006979460536701628,0.0825568326752779,0.11230956865368803,0.08375345801254777,0.11111294331641816,0.0957501602707065,0.008843371139525574,3.6155354953658305,1393.7077941728626,1.5353028376576396,2.35493311591994
Any cardiovascular disease,2005-2006,2005.5,4979,561,30,15,15,2.1314495455597755,0.08808596602343012,0.004533711670977435,0.07842258834262622,0.09774934370423402,0.07919989114831436,0.09697204089854589,0.08760165826466919,0.00613220537489972,1.4774426429030958,3370.0123818116763,1.5209243034756104,0.9714110291530286
Any cardiovascular disease,2007-2008,2007.5,5934,717,32,16,16,2.1199052992212546,0.08575128118973274,0.005359295928640245,0.07439008135051339,0.09711248102895209,0.07524706116959787,0.09625550120986762,0.08649471882341635,0.006161982226310002,2.694802667502585,2202.0165229758177,1.6402230587536515,1.642948898395729
Any cardiovascular disease,2009-2010,2009.5,6216,668,31,15,16,2.1199052992212546,0.07763130980152164,0.004102361509165885,0.06893469189891957,0.0863279277041237,0.0695906812435565,0.08567193835948678,0.07981534493926153,0.005975993498139492,1.7370812518216192,3578.416377173772,1.5480255010736321,1.122127026083787
Any cardiovascular disease,2011-2012,2011.5,5557,581,31,14,17,2.1098155778333156,0.08262139519764944,0.0030503163314833577,0.07618579028416649,0.08905700011113239,0.07664277518794206,0.08860001520735682,0.08504459036053062,0.0051902920745154745,0.7892306003074945,7041.034645431792,1.9479483659896037,0.4051599180384572
Any cardiovascular disease,2013-2014,2013.5,5768,595,30,15,15,2.1314495455597755,0.08254309767301043,0.004327860141859106,0.07331848214039857,0.0917677132056223,0.07406049179496658,0.09102570355105429,0.08754380352826335,0.004463162298531062,1.7407873863127135,3313.4431265713697,1.57136641035417,1.1078176132836883
Any cardiovascular disease,2015-2016,2015.5,5719,635,30,15,15,2.1314495455597755,0.07700181725595447,0.003522038930019375,0.06949476897912082,0.08450886553278811,0.07009862095311649,0.08390501355879244,0.08653385732941178,0.005118015700352719,1.1209209744551094,5102.054587550261,1.910063578651283,0.586850085506894
Any cardiovascular disease,2017-2018,2017.5,5568,691,30,15,15,2.1314495455597755,0.08407303248577151,0.0045871434282562865,0.07429576771019714,0.09385029726134589,0.0750822313663892,0.09306383360515383,0.09568809616935225,0.006675716494359983,1.9011773151142957,2928.711570317291,2.33500551709423,0.8142067764705727
Any cardiovascular disease,2021-2022,2022.6,7807,982,30,15,15,2.1314495455597755,0.08033408928443259,0.0037689953018645384,0.07230066596105648,0.08836751260780869,0.07294685849277809,0.08772132007608709,0.09403574715200153,0.004558578243142068,1.8889366809809758,4133.013074819223,1.4822885698083916,1.2743380199073853
