split,variable,value
train,participants,4126
train,age,54.01738674
train,race_black,0.1062522607
train,systolic_bp,126.5415468
train,bp_treated,0.2381651698
train,total_cholesterol,212.0096984
train,hdl_cholesterol,53.80113854
train,diabetes_dx,0.07281906289
train,current_smoker,0.2093459079
train,bmi,28.51388834
train,followup_years,16.26542008
train,male,0.4841941548
train,cvd_death,336
train,competing_death,922
test_10y,participants,3302
test_10y,age,54.59749356
test_10y,race_black,0.1121036079
test_10y,systolic_bp,124.5078826
test_10y,bp_treated,0.2848082216
test_10y,total_cholesterol,205.6384591
test_10y,hdl_cholesterol,54.73994891
test_10y,diabetes_dx,0.07825747048
test_10y,current_smoker,0.2112643636
test_10y,bmi,28.99052998
test_10y,followup_years,12.309382
test_10y,male,0.4723503949
test_10y,cvd_death,160
test_10y,competing_death,464
test_5y,participants,4985
test_5y,age,55.58832681
test_5y,race_black,0.1223836017
test_5y,systolic_bp,123.6796731
test_5y,bp_treated,0.3068635327
test_5y,total_cholesterol,202.9140062
test_5y,hdl_cholesterol,55.33738377
test_5y,diabetes_dx,0.09964683842
test_5y,current_smoker,0.1853666669
test_5y,bmi,29.30044288
test_5y,followup_years,7.777757591
test_5y,male,0.4703386096
test_5y,cvd_death,104
test_5y,competing_death,347
