cycle,prevalence_pct,n_unweighted,n_cases,weighted_pop,midyear
1999-2000,2.9020401955856987,4854.0,180.0,17415252.757401712,1999.5
2001-2002,2.926641113342718,5379.0,199.0,18074826.263647728,2001.5
2003-2004,3.1436703570501376,5021.0,212.0,18606322.712845728,2003.5
2005-2006,2.552774231751467,4962.0,155.0,19042547.98837291,2005.5
2007-2008,2.05856112329075,5913.0,164.0,19503010.836384818,2007.5
2009-2010,1.9124552441615794,6200.0,155.0,19888964.430866912,2009.5
2011-2012,2.2614941325981466,5541.0,129.0,20333593.67194409,2011.5
2013-2014,2.126691849103858,5761.0,136.0,20816940.747857,2013.5
2015-2016,2.067140288290704,5701.0,133.0,21287143.320444457,2015.5
2017-2018,2.6483989311942246,5539.0,161.0,21643537.337205727,2017.5
2021-2022,1.691861694826548,7783.0,181.0,22221800.545517273,2021.5
