cycle,prevalence_pct,n_unweighted,n_cases,weighted_pop,midyear
1999-2000,8.096667620547219,4880.0,564.0,17454876.459545434,1999.5
2001-2002,7.826636822449149,5410.0,638.0,18145112.49545136,2001.5
2003-2004,9.730945278736415,5040.0,688.0,18659415.088541634,2003.5
2005-2006,8.786039735529148,4979.0,561.0,19104781.111359455,2005.5
2007-2008,8.556426273956754,5935.0,717.0,19548021.28772482,2007.5
2009-2010,8.027097372842457,6218.0,668.0,19916921.75154282,2009.5
2011-2012,8.628852303125607,5559.0,581.0,20358658.176680908,2011.5
2013-2014,8.7443063056467,5769.0,595.0,20831963.272473544,2013.5
2015-2016,8.630122050132254,5719.0,635.0,21318853.27247682,2015.5
2017-2018,9.535715940138038,5569.0,691.0,21703412.62540908,2017.5
2021-2022,9.609307987158704,7808.0,982.0,22278288.07636591,2021.5
