cycle,prevalence_pct,n_unweighted,n_cases,weighted_pop,midyear
1999-2000,2.0470027661339247,4856.0,167.0,17423578.321588997,1999.5
2001-2002,2.146470704609294,5387.0,187.0,18100315.581635457,2001.5
2003-2004,2.589991142844982,5019.0,197.0,18610917.77520609,2003.5
2005-2006,2.5422346604845947,4962.0,180.0,19071950.40780082,2005.5
2007-2008,2.3777856979604954,5910.0,217.0,19493785.983440362,2007.5
2009-2010,1.9873640844572578,6199.0,174.0,19893565.017493457,2009.5
2011-2012,2.7783323108526132,5544.0,187.0,20337590.744517818,2011.5
2013-2014,2.5833168988677846,5761.0,182.0,20818181.723739363,2013.5
2015-2016,2.408482714319177,5708.0,214.0,21274111.687227003,2015.5
2017-2018,2.3372403030742954,5552.0,201.0,21672553.755403694,2017.5
2021-2022,3.0200208470230274,7791.0,343.0,22255748.496902,2021.5
