cycle,prevalence_pct,n_unweighted,n_cases,weighted_pop,midyear
1999-2000,3.4229496995305655,4864.0,221.0,17420592.41240102,1999.5
2001-2002,2.9272115806857024,5399.0,258.0,18135025.99620491,2001.5
2003-2004,4.029588716894064,5030.0,274.0,18641296.9469,2003.5
2005-2006,3.5880502032636006,4971.0,215.0,19076955.034442455,2005.5
2007-2008,3.298476929837504,5924.0,282.0,19523992.577325635,2007.5
2009-2010,3.1679748012763116,6201.0,261.0,19886248.40056718,2009.5
2011-2012,3.1861220161754735,5552.0,203.0,20351648.501704548,2011.5
2013-2014,3.3411019411223184,5766.0,230.0,20824765.08483382,2013.5
2015-2016,3.400686372508898,5710.0,251.0,21300128.258721907,2015.5
2017-2018,3.6454840110654003,5559.0,270.0,21671719.73995667,2017.5
2021-2022,3.33295845191278,7794.0,332.0,22256880.481854364,2021.5
